min costs,ALL shortest paths min costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h = min edge cost of all edges from start and from end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,min Edge weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.2,45,31.6,26,18.7,1,8.6,2.1,10.3,5.1,25.2,1.9,2.7,50.4,41.9,36.5,2.7,5,11.6,50.8,7.5,3.8,1.2,13.2,37.1,8.6,2.6,29.6,51.6,7.5,35.8,68.4,58.4,12.9,62,8.5,7.5,43.9,3.8,28.7,18.5,10.5,21.6,9,54.1,3.2,42.9,7.2,2.7,33.7,29.6,15.2,52.3,89.8,9.8,1.2,23.5,7.2,1.2,7.5,46.4,2.1,38.8,23.5,21.7,29.8,4.9,93.4,6.5,10.5,7.3,15.4,3.1,19.1,28.2,13.2,3.2,52.9,52.3,60.3,1.9,64.5,45.4,25.2,2,16.9,1.4,68.1,4.9,19.9,7.3,3.2,2.6,9.1,25.4,33.7,5.1,1.2,11.4,23.8,32,17.6,10.3,43.9,21,32.6,15.1,52.3,8.3,3.2,57.2,38.7,51.6,3.9,13.2,21.7,2,26.2,3.2,44.5,32.2,53.6,21.7,68.1,35.8,16.9,23.5,21.6,4.3,13.3,14.9,61.8,30.3,17.1,40.7,15.6,12.9,17.8,27.1,42.9,4.3,60.4,71.4,49.2,70.9,17.6,30.3,80.8,8.3,17,80.5,5,3.2,18.5,17.1,13.3,15.6,40.6,49.2,11.6,18.5,26.1,23.8,18.6,10.8,89.1,31.8,21.7,2.6,6.5,8.5,26.2,22.6,75.2,12.5,3.1,17.5,12.6,29.9,10.8,15.1,47.6,13.7,9,1.4,16.1,20.4,26.1,17.5,14.9,29.6,9.8,42,3.3,31.5,2.6,33.9,25.8,1,24.5
,TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
1,7.2,0,7.2,7.2,7.2,1,7.2,2.1,7.2,5.1,7.2,1.9,2.7,7.2,7.2,7.2,2.7,5,7.2,7.2,7.2,3.8,1.2,7.2,7.2,7.2,2.6,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,3.8,7.2,7.2,7.2,7.2,7.2,7.2,3.2,7.2,7.2,2.7,7.2,7.2,7.2,7.2,7.2,7.2,1.2,7.2,7.2,1.2,7.2,7.2,2.1,7.2,7.2,7.2,7.2,4.9,7.2,6.5,7.2,7.2,7.2,3.1,7.2,7.2,7.2,3.2,7.2,7.2,7.2,1.9,7.2,7.2,7.2,2,7.2,1.4,7.2,4.9,7.2,7.2,3.2,2.6,7.2,7.2,7.2,5.1,1.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,3.2,7.2,7.2,7.2,3.9,7.2,7.2,2,7.2,3.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,4.3,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,4.3,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,5,3.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,2.6,6.5,7.2,7.2,7.2,7.2,7.2,3.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,1.4,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,3.3,7.2,2.6,7.2,7.2,1,7.2
2,7.2,45,0,26,18.7,1,8.6,2.1,10.3,5.1,25.2,1.9,2.7,45,41.9,36.5,2.7,5,11.6,45,7.5,3.8,1.2,13.2,37.1,8.6,2.6,29.6,45,7.5,35.8,45,45,12.9,45,8.5,7.5,43.9,3.8,28.7,18.5,10.5,21.6,9,45,3.2,42.9,7.2,2.7,33.7,29.6,15.2,45,45,9.8,1.2,23.5,7.2,1.2,7.5,45,2.1,38.8,23.5,21.7,29.8,4.9,45,6.5,10.5,7.3,15.4,3.1,19.1,28.2,13.2,3.2,45,45,45,1.9,45,45,25.2,2,16.9,1.4,45,4.9,19.9,7.3,3.2,2.6,9.1,25.4,33.7,5.1,1.2,11.4,23.8,32,17.6,10.3,43.9,21,32.6,15.1,45,8.3,3.2,45,38.7,45,3.9,13.2,21.7,2,26.2,3.2,44.5,32.2,45,21.7,45,35.8,16.9,23.5,21.6,4.3,13.3,14.9,45,30.3,17.1,40.7,15.6,12.9,17.8,27.1,42.9,4.3,45,45,45,45,17.6,30.3,45,8.3,17,45,5,3.2,18.5,17.1,13.3,15.6,40.6,45,11.6,18.5,26.1,23.8,18.6,10.8,45,31.8,21.7,2.6,6.5,8.5,26.2,22.6,45,12.5,3.1,17.5,12.6,29.9,10.8,15.1,45,13.7,9,1.4,16.1,20.4,26.1,17.5,14.9,29.6,9.8,42,3.3,31.5,2.6,33.9,25.8,1,24.5
3,7.2,31.6,31.6,0,18.7,1,8.6,2.1,10.3,5.1,25.2,1.9,2.7,31.6,31.6,31.6,2.7,5,11.6,31.6,7.5,3.8,1.2,13.2,31.6,8.6,2.6,29.6,31.6,7.5,31.6,31.6,31.6,12.9,31.6,8.5,7.5,31.6,3.8,28.7,18.5,10.5,21.6,9,31.6,3.2,31.6,7.2,2.7,31.6,29.6,15.2,31.6,31.6,9.8,1.2,23.5,7.2,1.2,7.5,31.6,2.1,31.6,23.5,21.7,29.8,4.9,31.6,6.5,10.5,7.3,15.4,3.1,19.1,28.2,13.2,3.2,31.6,31.6,31.6,1.9,31.6,31.6,25.2,2,16.9,1.4,31.6,4.9,19.9,7.3,3.2,2.6,9.1,25.4,31.6,5.1,1.2,11.4,23.8,31.6,17.6,10.3,31.6,21,31.6,15.1,31.6,8.3,3.2,31.6,31.6,31.6,3.9,13.2,21.7,2,26.2,3.2,31.6,31.6,31.6,21.7,31.6,31.6,16.9,23.5,21.6,4.3,13.3,14.9,31.6,30.3,17.1,31.6,15.6,12.9,17.8,27.1,31.6,4.3,31.6,31.6,31.6,31.6,17.6,30.3,31.6,8.3,17,31.6,5,3.2,18.5,17.1,13.3,15.6,31.6,31.6,11.6,18.5,26.1,23.8,18.6,10.8,31.6,31.6,21.7,2.6,6.5,8.5,26.2,22.6,31.6,12.5,3.1,17.5,12.6,29.9,10.8,15.1,31.6,13.7,9,1.4,16.1,20.4,26.1,17.5,14.9,29.6,9.8,31.6,3.3,31.5,2.6,31.6,25.8,1,24.5
4,7.2,26,26,26,0,1,8.6,2.1,10.3,5.1,25.2,1.9,2.7,26,26,26,2.7,5,11.6,26,7.5,3.8,1.2,13.2,26,8.6,2.6,26,26,7.5,26,26,26,12.9,26,8.5,7.5,26,3.8,26,18.5,10.5,21.6,9,26,3.2,26,7.2,2.7,26,26,15.2,26,26,9.8,1.2,23.5,7.2,1.2,7.5,26,2.1,26,23.5,21.7,26,4.9,26,6.5,10.5,7.3,15.4,3.1,19.1,26,13.2,3.2,26,26,26,1.9,26,26,25.2,2,16.9,1.4,26,4.9,19.9,7.3,3.2,2.6,9.1,25.4,26,5.1,1.2,11.4,23.8,26,17.6,10.3,26,21,26,15.1,26,8.3,3.2,26,26,26,3.9,13.2,21.7,2,26,3.2,26,26,26,21.7,26,26,16.9,23.5,21.6,4.3,13.3,14.9,26,26,17.1,26,15.6,12.9,17.8,26,26,4.3,26,26,26,26,17.6,26,26,8.3,17,26,5,3.2,18.5,17.1,13.3,15.6,26,26,11.6,18.5,26,23.8,18.6,10.8,26,26,21.7,2.6,6.5,8.5,26,22.6,26,12.5,3.1,17.5,12.6,26,10.8,15.1,26,13.7,9,1.4,16.1,20.4,26,17.5,14.9,26,9.8,26,3.3,26,2.6,26,25.8,1,24.5
5,7.2,18.7,18.7,18.7,18.7,0,8.6,2.1,10.3,5.1,18.7,1.9,2.7,18.7,18.7,18.7,2.7,5,11.6,18.7,7.5,3.8,1.2,13.2,18.7,8.6,2.6,18.7,18.7,7.5,18.7,18.7,18.7,12.9,18.7,8.5,7.5,18.7,3.8,18.7,18.5,10.5,18.7,9,18.7,3.2,18.7,7.2,2.7,18.7,18.7,15.2,18.7,18.7,9.8,1.2,18.7,7.2,1.2,7.5,18.7,2.1,18.7,18.7,18.7,18.7,4.9,18.7,6.5,10.5,7.3,15.4,3.1,18.7,18.7,13.2,3.2,18.7,18.7,18.7,1.9,18.7,18.7,18.7,2,16.9,1.4,18.7,4.9,18.7,7.3,3.2,2.6,9.1,18.7,18.7,5.1,1.2,11.4,18.7,18.7,17.6,10.3,18.7,18.7,18.7,15.1,18.7,8.3,3.2,18.7,18.7,18.7,3.9,13.2,18.7,2,18.7,3.2,18.7,18.7,18.7,18.7,18.7,18.7,16.9,18.7,18.7,4.3,13.3,14.9,18.7,18.7,17.1,18.7,15.6,12.9,17.8,18.7,18.7,4.3,18.7,18.7,18.7,18.7,17.6,18.7,18.7,8.3,17,18.7,5,3.2,18.5,17.1,13.3,15.6,18.7,18.7,11.6,18.5,18.7,18.7,18.6,10.8,18.7,18.7,18.7,2.6,6.5,8.5,18.7,18.7,18.7,12.5,3.1,17.5,12.6,18.7,10.8,15.1,18.7,13.7,9,1.4,16.1,18.7,18.7,17.5,14.9,18.7,9.8,18.7,3.3,18.7,2.6,18.7,18.7,1,18.7
6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,7.2,8.6,8.6,8.6,8.6,1,8.6,0,8.6,5.1,8.6,1.9,2.7,8.6,8.6,8.6,2.7,5,8.6,8.6,7.5,3.8,1.2,8.6,8.6,8.6,2.6,8.6,8.6,7.5,8.6,8.6,8.6,8.6,8.6,8.5,7.5,8.6,3.8,8.6,8.6,8.6,8.6,8.6,8.6,3.2,8.6,7.2,2.7,8.6,8.6,8.6,8.6,8.6,8.6,1.2,8.6,7.2,1.2,7.5,8.6,2.1,8.6,8.6,8.6,8.6,4.9,8.6,6.5,8.6,7.3,8.6,3.1,8.6,8.6,8.6,3.2,8.6,8.6,8.6,1.9,8.6,8.6,8.6,2,8.6,1.4,8.6,4.9,8.6,7.3,3.2,2.6,8.6,8.6,8.6,5.1,1.2,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.3,3.2,8.6,8.6,8.6,3.9,8.6,8.6,2,8.6,3.2,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,4.3,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,4.3,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.3,8.6,8.6,5,3.2,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,2.6,6.5,8.5,8.6,8.6,8.6,8.6,3.1,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,1.4,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,3.3,8.6,2.6,8.6,8.6,1,8.6
8,2.1,2.1,2.1,2.1,2.1,1,2.1,2.1,0,2.1,2.1,1.9,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.2,2.1,2.1,1.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.9,2.1,2.1,2.1,2,2.1,1.4,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.4,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1,2.1
